interval_datetime,region_id,rrp,total_demand_mw,scheduled_generation_mw
2024-08-01 00:05:00,NSW1,79.17,8272.0,7907.4
2024-08-01 00:10:00,NSW1,77.2,8149.8,7921.4
2024-08-01 00:15:00,NSW1,97.73,8443.6,8259.5
2024-08-01 00:20:00,NSW1,93.12,8104.4,7545.3
2024-08-01 00:25:00,NSW1,42.78,8216.2,7702.5
2024-08-01 00:30:00,NSW1,88.44,8005.7,7541.2
2024-08-01 00:35:00,NSW1,77.37,8404.0,7990.9
2024-08-01 00:40:00,NSW1,84.27,8068.1,7505.2
2024-08-01 00:45:00,NSW1,76.02,8049.9,7618.5
2024-08-01 00:50:00,NSW1,60.32,8135.1,7928.1
2024-08-01 00:55:00,NSW1,56.97,8258.8,7855.8
2024-08-01 01:00:00,NSW1,86.04,7895.8,7631.3
2024-08-01 01:05:00,NSW1,85.51,8215.1,7654.5
2024-08-01 01:10:00,NSW1,75.83,8059.1,7545.6
2024-08-01 01:15:00,NSW1,103.67,7983.9,7605.2
2024-08-01 01:20:00,NSW1,74.11,8088.5,7920.4
2024-08-01 01:25:00,NSW1,94.54,7904.2,7658.6
2024-08-01 01:30:00,NSW1,101.09,8151.8,7535.8
2024-08-01 01:35:00,NSW1,75.66,7826.0,7492.6
2024-08-01 01:40:00,NSW1,78.19,7854.4,7379.3
2024-08-01 01:45:00,NSW1,109.8,8028.1,7613.3
2024-08-01 01:50:00,NSW1,68.78,7924.8,7557.7
2024-08-01 01:55:00,NSW1,114.08,7829.7,7404.2
2024-08-01 02:00:00,NSW1,75.87,7815.9,7429.1
2024-08-01 02:05:00,NSW1,89.32,7735.1,7466.9
2024-08-01 02:10:00,NSW1,71.71,7611.6,7371.7
2024-08-01 02:15:00,NSW1,88.74,7846.2,7306.3
2024-08-01 02:20:00,NSW1,101.86,7690.0,7488.3
2024-08-01 02:25:00,NSW1,75.28,7539.8,7129.8
2024-08-01 02:30:00,NSW1,87.35,7666.9,7288.5
2024-08-01 02:35:00,NSW1,73.38,7384.2,6943.1
2024-08-01 02:40:00,NSW1,90.28,7556.0,7270.2
2024-08-01 02:45:00,NSW1,80.47,7604.4,7110.9
2024-08-01 02:50:00,NSW1,81.46,7264.7,6699.6
2024-08-01 02:55:00,NSW1,132.5,7557.3,7079.1
2024-08-01 03:00:00,NSW1,88.18,7517.3,7136.7
2024-08-01 03:05:00,NSW1,97.42,7721.7,7441.4
2024-08-01 03:10:00,NSW1,53.26,7768.6,7396.9
2024-08-01 03:15:00,NSW1,70.39,7418.6,7088.1
2024-08-01 03:20:00,NSW1,83.41,7349.5,6838.5
2024-08-01 03:25:00,NSW1,113.78,7465.1,6929.5
2024-08-01 03:30:00,NSW1,75.4,7509.4,7303.9
2024-08-01 03:35:00,NSW1,56.77,7780.6,7417.3
2024-08-01 03:40:00,NSW1,85.8,7438.9,7244.2
2024-08-01 03:45:00,NSW1,98.05,7758.4,7300.3
2024-08-01 03:50:00,NSW1,88.11,7833.4,7573.3
2024-08-01 03:55:00,NSW1,86.79,7682.2,7481.7
2024-08-01 04:00:00,NSW1,67.38,7870.5,7316.8
2024-08-01 04:05:00,NSW1,91.76,8155.1,7612.5
2024-08-01 04:10:00,NSW1,98.19,7745.1,7472.4
2024-08-01 04:15:00,NSW1,90.53,8089.1,7717.8
2024-08-01 04:20:00,NSW1,66.61,7933.9,7415.3
2024-08-01 04:25:00,NSW1,89.09,7996.8,7659.9
2024-08-01 04:30:00,NSW1,111.95,8046.6,7640.7
2024-08-01 04:35:00,NSW1,64.53,8180.2,7537.8
2024-08-01 04:40:00,NSW1,92.07,7939.1,7758.4
2024-08-01 04:45:00,NSW1,96.87,8109.4,7912.4
